word,count
aahed,10000
aalii,10000
aargh,71592
aarti,63273
abaca,79841
abaci,10000
aback,272920
abacs,10000
abaft,19188
abaka,10000
abamp,10000
aband,10000
abase,29383
abash,10000
abask,10000
abate,470646
abaya,84401
abbas,1437558
abbed,10000
abbes,25330
abbey,4224864
abbot,992552
abcee,10000
abeam,17316
abear,10000
abele,62988
abers,10000
abets,33014
abhor,169167
abide,3722809
abies,185002
abled,122479
abler,29740
ables,252284
ablet,10000
ablow,15776
abmho,10000
abode,1246541
abohm,10000
aboil,10000
aboma,10000
aboon,10000
abord,82154
abore,10000
abort,1569892
about,1226734006
above,141894620
abram,610831
abray,13971
abrim,10000
abrin,10000
abris,21355
absey,10000
absit,10000
abuna,10000
abune,10000
abuse,36269685
abuts,106431
abuzz,101924
abyes,10000
abysm,10000
abyss,1152408
acais,10000
acari,80144
accas,10000
accoy,10000
acerb,10000
acers,31994
aceta,10000
achar,32197
ached,153141
aches,1116644
achoo,33177
acids,8793940
acidy,10000
acing,35956
acini,24397
ackee,10000
acker,317695
acmes,10000
acmic,10000
acned,10000
acnes,44507
acock,10000
acold,10000
acorn,1825652
acred,10000
acres,14208905
acrid,104638
acros,67908
acted,4468180
actin,1356491
acton,1309016
actor,16282891
acute,11128841
acyls,10000
adage,419158
adapt,4675567
adaws,10000
adays,13959
adbot,19586
addax,16108
added,118410414
adder,888956
addio,54645
addle,15267
adeem,10000
adept,1595303
adhan,37011
adieu,274747
adios,348221
adits,12932
adman,30780
admen,10000
admin,37835381
admit,8780656
admix,17678
adobe,27538755
adobo,73556
adopt,11272339
adore,1176240
adorn,464591
adown,15167
adoze,10000
adrad,10000
adred,10000
adsum,10000
aduki,10000
adult,97583096
adunc,10000
adust,10000
advew,10000
adyta,10000
adzed,10000
adzes,10000
aecia,10000
aedes,173718
aegis,1349788
aeons,92070
aerie,107043
aeros,137375
aesir,33093
afald,10000
afara,10000
afars,16470
afear,10000
affix,444121
afire,113772
aflaj,10000
afoot,364417
afore,191691
afoul,159727
afrit,10000
afros,24950
after,372948094
again,150781416
agama,68959
agami,18814
agape,414471
agars,10000
agast,10000
agate,900451
agave,312239
agaze,10000
agene,10000
agent,57103658
agers,180316
agger,27373
aggie,616732
aggri,10000
aggro,171343
aggry,10000
aghas,10000
agila,64661
agile,1808955
aging,12014007
agios,230082
agism,10000
agist,10000
agita,10000
aglee,10000
aglet,21535
agley,10000
agloo,10000
aglow,110328
aglus,10000
agmas,10000
agoge,10000
agone,10000
agons,10000
agony,1543205
agood,24742
agora,797585
agree,47500911
agria,10000
agrin,23924
agros,10000
agued,10000
agues,10000
aguna,10000
aguti,10000
ahead,28375319
aheap,10000
ahent,10000
ahigh,12899
ahind,10000
ahing,10000
ahint,10000
ahold,295977
ahull,10000
ahuru,10000
aidas,10000
aided,3314916
aider,140957
aides,1614522
aidoi,10000
aidos,10000
aiery,10000
aigas,10000
aight,127253
ailed,20703
aimed,10030370
aimer,96862
ainee,10000
ainga,10000
aioli,84769
aired,2159611
airer,36215
airns,10000
airth,28113
airts,10000
aisle,1917319
aitch,28626
aitus,10000
aiver,10000
aiyee,10000
aizle,10000
ajies,10000
ajiva,10000
ajuga,31146
ajwan,10000
akees,10000
akela,28395
akene,10000
aking,105864
akita,440387
akkas,10000
alaap,10000
alack,38913
alamo,2162395
aland,874439
alane,34667
alang,48219
alans,34103
alant,10000
alapa,10000
alaps,10000
alarm,17059844
alary,13261
alate,10000
alays,10000
albas,10000
albee,239116
album,77914316
alcid,10000
alcos,10000
aldea,47423
alder,972850
aldol,32614
aleck,69914
alecs,10000
alefs,10000
aleft,10000
aleph,692035
alert,32472727
alews,10000
aleye,10000
alfas,23952
algae,2068644
algal,510781
algas,36273
algid,10000
algin,10000
algor,79868
algum,21242
alias,7132147
alibi,448710
alien,10490554
alifs,10000
align,5478643
alike,6220739
aline,267309
alist,270374
alive,16064787
aliya,86771
alkie,10000
alkos,10000
alkyd,101898
alkyl,637228
allay,203474
allee,204946
allel,39827
alley,4541475
allis,603850
allod,10000
allot,396325
allow,67052567
alloy,5468839
allyl,130966
almah,10000
almas,48769
almeh,10000
almes,44838
almud,10000
almug,10000
alods,10000
aloed,10000
aloes,66464
aloft,497342
aloha,2099181
aloin,10000
alone,39326417
along,83444756
aloof,294291
aloos,10000
aloud,3743858
alowe,10000
alpha,27832836
altar,2627835
alter,7831337
altho,159231
